# subj	index_traj	path	conditions	condition	cond_sum	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	prop_left	RT_s	exept_prop_left_lv	acc_lv
19	56	iid	LR	different	iid_different	left	-0.974	2.955	right	9	5.179	-1	1	0.75	1	1
19	37	iid	LL	same	iid_same	left	-1.988	5.494	left	30	-5.674	-1	1	0.438	1	1
19	67	iid	LR	different	iid_different	left	-1.011	3.712	right	14	2.576	1	0	0.349	1	0
19	79	iid	LR	different	iid_different	left	-2.149	4.637	right	22	6.019	1	0	0.826	1	0
19	80	iid	LR	different	iid_different	left	-1.134	4.973	right	25	3.726	1	0	0.4445	1	0
19	188	iid	RR	same	iid_same	right	2.822	5.379	right	29	8.417	1	0	0.79	0	1
19	183	iid	RR	same	iid_same	right	2.547	5.207	right	27	4.706	-1	1	0.4445	0	0
19	10	iid	LL	same	iid_same	left	-1.646	3.03	left	9	-6.579	-1	1	0.85	1	1
19	128	iid	RL	different	iid_different	right	0.87	4.088	left	17	-2.599	1	0	0.477	0	1
19	62	iid	LR	different	iid_different	left	-1.05	3.553	right	13	3.169	-1	1	0.539	1	1
19	65	iid	LR	different	iid_different	left	-2.055	3.917	right	16	5.82	-1	1	0.707	1	1
19	17	iid	LL	same	iid_same	left	-2.376	3.95	left	16	-7.381	-1	1	0.445	1	1
19	133	iid	RL	different	iid_different	right	1.014	5.344	left	29	-3.279	-1	1	0.588	0	0
19	195	iid	RR	same	iid_same	right	0.81	6.405	right	41	10.068	-1	1	0.621	0	0
19	146	iid	RL	different	iid_different	right	1.995	6.028	left	36	-3.041	1	0	0.497	0	1
19	38	iid	LL	same	iid_same	left	-2.822	5.379	left	29	-8.417	-1	1	0.961	1	1
19	173	iid	RR	same	iid_same	right	2.217	4.012	right	16	3.328	-1	1	0.859	0	0
19	149	iid	RL	different	iid_different	right	1.186	6.295	left	40	-3.668	-1	1	0.431	0	0
19	93	iid	LR	different	iid_different	left	-1.486	6.421	right	41	8.888	-1	1	0.658	1	1
19	29	iid	LL	same	iid_same	left	-1.621	4.376	left	19	-14.001	1	0	0.429	1	0
19	0	iid	LL	same	iid_same	left	-1.672	2.125	left	5	-3.182	-1	1	0.4445	1	1
19	2	iid	LL	same	iid_same	left	-2.413	2.537	left	6	-6.728	1	0	0.791	1	0
19	122	iid	RL	different	iid_different	right	1.283	4.911	left	24	-3.587	-1	1	0.656	0	0
19	180	iid	RR	same	iid_same	right	1.432	5.195	right	27	7.161	1	0	0.419	0	1
