trial	index_traj	path	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	RT	fix_start_time	dot_mvt_start_time	last_dot_time	button_pressed_time	line_cross_time	early_response (t/f)	rest_time	end_time	start_exp_time	time_from_start [ces]
0	95	rdw	left	-1.969	6.295	right	40	10.722	1	1069	0	306	1219	2288	1566	0	333	3293	43737.0	48.325
1	15	rdw	left	-2.085	3.039	left	9	-3.017	-1	699	0	305	1454	2153	1541	0	75	3158		51.626
2	30	rdw	left	-1.432	5.195	left	27	-7.161	-1	842	0	307	1327	2169	1566	0	225	3175		54.794
3	158	rdw	right	1.147	2.092	right	4	3.873	1	573	1	309	1514	2087	1559	0	33	3093		57.98
4	128	rdw	right	0.87	4.088	left	17	-2.599	-1	784	0	307	1401	2185	1558	0	142	3191		61.083
5	115	rdw	right	2.055	3.917	left	16	-5.82	-1	754	0	308	1430	2184	1576	0	133	3189		64.285
6	69	rdw	left	-2.377	3.329	right	11	2.683	1	906	1	309	1454	2360	1559	0	92	3366		67.486
7	170	rdw	right	2.263	4.205	right	18	3.056	1	748	0	308	1393	2141	1557	0	150	3147		70.863
8	174	rdw	right	1.157	4.176	right	17	2.95	1	774	1	308	1410	2184	1568	0	142	3189		74.021
9	45	rdw	left	-0.81	6.405	left	41	-10.068	-1	771	0	308	1211	1982	1569	0	342	2988		77.221
10	66	rdw	left	-2.091	3.596	right	13	5.348	1	624	0	308	1447	2071	1567	0	108	3076		80.22
11	182	rdw	right	2.179	5.057	right	26	5.865	1	729	0	308	1329	2058	1558	0	217	3063		83.307
12	165	rdw	right	2.085	3.039	right	9	3.017	1	696	0	305	1465	2161	1555	0	75	3167		86.379
13	78	rdw	left	-0.87	4.088	right	17	2.599	1	548	0	308	1418	1966	1575	0	142	2972		89.557
14	186	rdw	right	1.917	5.864	right	35	11.991	1	545	0	308	1249	1794	1555	0	292	2799		92.54
15	177	rdw	right	2.389	4.145	right	17	3.429	1	597	0	309	1434	2031	1591	0	142	3037		95.35
16	56	rdw	left	-0.974	2.955	right	9	5.179	1	500	0	308	1476	1976	1566	0	75	2981		98.398
17	152	rdw	right	2.413	2.537	right	6	6.728	1	451	0	308	1484	1935	1548	0	50	2941		101.39
