dataset;zr;a;v;t0;precision;method;penalty;fit index;time
iid_diff_s_0.csv;0.499950;0.987956;0.478805;0.327612;3.000000;KS;0.000000;0.683494;0.568000
iid_diff_s_1.csv;0.352965;0.998861;2.857705;0.241387;3.000000;KS;0.000000;0.956257;0.597000
iid_diff_s_2.csv;0.588241;0.996967;-0.156389;0.338838;3.000000;KS;0.000000;0.663559;0.542000
iid_diff_s_3.csv;0.533347;0.883123;0.044975;0.253286;3.000000;KS;0.000000;0.806518;0.713000
iid_diff_s_4.csv;0.531247;0.959284;0.022920;0.340655;3.000000;KS;0.000000;0.987743;0.548000
iid_diff_s_5.csv;0.552645;1.097852;0.181362;0.307286;3.000000;KS;0.000000;0.554314;0.693000
iid_diff_s_6.csv;0.522748;1.286857;0.086685;0.309289;3.000000;KS;0.000000;0.962768;0.593000
iid_diff_s_7.csv;0.499950;0.923172;0.344349;0.093471;3.000000;KS;0.000000;0.548182;0.566000
iid_diff_s_8.csv;0.500050;0.908362;0.920034;0.129986;3.000000;KS;0.000000;0.818092;0.498000
iid_diff_s_9.csv;0.647135;0.966299;-0.743380;0.378328;3.000000;KS;0.000000;0.945988;0.848000
iid_diff_s_10.csv;0.526347;1.096139;0.805266;0.164777;3.000000;KS;0.000000;0.852899;0.480000
iid_diff_s_11.csv;0.583342;1.038494;0.174856;0.348568;3.000000;KS;0.000000;0.807713;0.517000
iid_diff_s_12.csv;0.500050;0.872113;0.019072;0.238783;3.000000;KS;0.000000;0.623560;0.629000
iid_diff_s_13.csv;0.500050;1.073825;0.555853;0.043501;3.000000;KS;0.000000;0.988485;0.634000
iid_diff_s_14.csv;0.473753;1.136782;-0.127438;0.514761;3.000000;KS;0.000000;0.886436;1.335000
iid_diff_s_15.csv;0.481452;1.601692;0.545763;0.156445;3.000000;KS;0.000000;0.951914;0.557000
iid_diff_s_16.csv;0.529447;0.987520;0.154561;0.332412;3.000000;KS;0.000000;0.889078;0.517000
iid_diff_s_17.csv;0.500050;0.965705;0.671558;0.071226;3.000000;KS;0.000000;0.910503;0.590000
iid_diff_s_18.csv;0.437556;0.960982;1.537128;0.298944;3.000000;KS;0.000000;0.920036;0.606000
iid_diff_s_19.csv;0.441156;0.991040;1.097225;0.242727;3.000000;KS;0.000000;0.793720;0.597000
iid_diff_s_20.csv;0.392861;0.829206;1.643999;0.047646;3.000000;KS;0.000000;0.583155;0.594000
iid_diff_s_21.csv;0.388861;1.024890;1.858167;0.213317;3.000000;KS;0.000000;0.855141;0.595000
iid_diff_s_22.csv;0.555544;1.044651;0.339926;0.232171;3.000000;KS;0.000000;0.863465;0.631000
iid_diff_s_23.csv;0.447355;1.128797;0.122746;0.000035;3.000000;KS;0.000000;0.921256;0.559000
iid_diff_s_24.csv;0.500050;0.773726;0.285387;0.257179;3.000000;KS;0.000000;0.609654;0.626000
iid_same_s_0.csv;0.406259;0.938234;1.528237;0.350875;3.000000;KS;0.000000;0.687769;0.599000
iid_same_s_1.csv;0.289471;1.117663;3.676924;0.239449;3.000000;KS;0.000000;0.904547;0.770000
iid_same_s_2.csv;0.433357;0.888194;2.258056;0.301312;3.000000;KS;0.000000;0.844551;0.591000
iid_same_s_3.csv;0.558844;0.973916;0.264304;0.204760;3.000000;KS;0.000000;0.870929;0.487000
iid_same_s_4.csv;0.533347;0.898124;0.639763;0.333966;3.000000;KS;0.000000;0.981846;0.624000
iid_same_s_5.csv;0.558844;1.020353;0.351940;0.347638;3.000000;KS;0.000000;0.613672;0.516000
iid_same_s_6.csv;0.568243;1.289399;0.611957;0.286198;3.000000;KS;0.000000;0.988506;0.563000
iid_same_s_7.csv;0.500050;0.863229;0.320200;0.093368;3.000000;KS;0.000000;0.524126;0.571000
iid_same_s_8.csv;0.466653;0.873327;1.701028;0.163385;3.000000;KS;0.000000;0.861164;0.505000
iid_same_s_9.csv;0.500050;0.903221;1.068185;0.326156;3.000000;KS;0.000000;0.763293;0.686000
iid_same_s_10.csv;0.425057;1.162756;1.393709;0.079070;3.000000;KS;0.000000;0.665211;0.496000
iid_same_s_11.csv;0.529447;1.016150;0.740987;0.336984;3.000000;KS;0.000000;0.794918;0.735000
iid_same_s_12.csv;0.529447;0.996794;0.783526;0.165486;3.000000;KS;0.000000;0.892512;0.526000
iid_same_s_13.csv;0.472253;1.027242;0.994950;0.052670;3.000000;KS;0.000000;0.894609;0.614000
iid_same_s_14.csv;0.642836;1.259112;0.224701;0.477515;3.000000;KS;0.000000;0.960020;0.620000
iid_same_s_15.csv;0.314869;1.584783;1.445121;0.113146;3.000000;KS;0.000000;0.719520;0.520000
iid_same_s_16.csv;0.588241;1.020326;0.314195;0.300219;3.000000;KS;0.000000;0.873972;0.525000
iid_same_s_17.csv;0.437556;0.958445;1.149512;0.036679;3.000000;KS;0.000000;0.619642;0.581000
iid_same_s_18.csv;0.342166;1.086484;2.526622;0.251854;3.000000;KS;0.000000;0.862260;0.544000
iid_same_s_19.csv;0.593741;0.907959;0.027459;0.285698;3.000000;KS;0.000000;0.691538;0.574000
iid_same_s_20.csv;0.333367;0.880598;2.648636;0.059259;3.000000;KS;0.000000;0.328025;0.537000
iid_same_s_21.csv;0.333367;1.215195;2.287901;0.171213;3.000000;KS;0.000000;0.803032;0.610000
iid_same_s_22.csv;0.350065;1.167936;2.252103;0.188244;3.000000;KS;0.000000;0.975120;0.533000
iid_same_s_23.csv;0.527747;1.048540;0.261236;0.000005;3.000000;KS;0.000000;0.924607;0.452000
iid_same_s_24.csv;0.352965;0.966305;1.955167;0.169348;3.000000;KS;0.000000;0.428999;0.689000
rdw_diff_s_0.csv;0.324968;1.142031;2.667272;0.338168;3.000000;KS;0.000000;0.883084;0.690000
rdw_diff_s_1.csv;0.406259;0.916663;2.368958;0.326498;3.000000;KS;0.000000;0.956844;0.624000
rdw_diff_s_2.csv;0.282572;1.317700;4.377850;0.222611;3.000000;KS;0.000000;0.909099;0.910000
rdw_diff_s_3.csv;0.305569;1.035140;3.411833;0.159436;3.000000;KS;0.000000;0.782702;0.580000
rdw_diff_s_4.csv;0.249975;0.682341;5.406136;0.311857;3.000000;KS;0.000000;0.735850;1.014000
rdw_diff_s_5.csv;0.382362;0.970521;1.256075;0.316290;3.000000;KS;0.000000;0.598895;0.596000
rdw_diff_s_6.csv;0.404760;1.205492;2.008942;0.293729;3.000000;KS;0.000000;0.925921;0.615000
rdw_diff_s_7.csv;0.343766;0.920446;1.955669;0.112291;3.000000;KS;0.000000;0.941423;0.853000
rdw_diff_s_8.csv;0.235276;0.996276;4.909594;0.207556;3.000000;KS;0.000000;0.959261;0.677000
rdw_diff_s_9.csv;0.576942;0.780609;0.990622;0.357031;3.000000;KS;0.000000;0.959298;0.677000
rdw_diff_s_10.csv;0.249975;1.296033;2.984718;0.066041;3.000000;KS;0.000000;0.923274;0.617000
rdw_diff_s_11.csv;0.230777;1.510221;3.012170;0.118729;3.000000;KS;0.000000;0.654617;0.557000
rdw_diff_s_12.csv;0.333367;1.024912;2.904703;0.214496;3.000000;KS;0.000000;0.771709;0.625000
rdw_diff_s_13.csv;0.281272;0.931295;2.393151;0.110858;3.000000;KS;0.000000;0.744068;0.488000
rdw_diff_s_14.csv;0.770823;1.434787;-0.111936;0.500020;3.000000;KS;0.000000;0.767281;0.676000
rdw_diff_s_15.csv;0.363664;1.305386;1.711787;0.276959;3.000000;KS;0.000000;0.736238;0.662000
rdw_diff_s_16.csv;0.305569;1.025071;3.348095;0.220058;3.000000;KS;0.000000;0.731954;0.691000
rdw_diff_s_17.csv;0.375062;0.915076;1.672548;0.186265;3.000000;KS;0.000000;0.632370;0.623000
rdw_diff_s_18.csv;0.285671;1.224478;4.153689;0.230553;3.000000;KS;0.000000;0.986712;0.558000
rdw_diff_s_19.csv;0.361164;1.054214;2.880818;0.174239;3.000000;KS;0.000000;0.962858;0.555000
rdw_diff_s_20.csv;0.357164;0.795546;2.063945;0.075640;3.000000;KS;0.000000;0.651258;0.837000
rdw_diff_s_21.csv;0.437456;0.912850;2.420953;0.250365;3.000000;KS;0.000000;0.791053;0.747000
rdw_diff_s_22.csv;0.282672;1.320810;3.189078;0.162471;3.000000;KS;0.000000;0.999822;0.688000
rdw_diff_s_23.csv;0.499950;1.214779;0.440402;0.000013;3.000000;KS;0.000000;0.990662;0.394000
rdw_diff_s_24.csv;0.249975;1.055473;3.544058;0.183390;3.000000;KS;0.000000;0.587220;0.680000
rdw_same_s_0.csv;0.361164;1.024865;2.448486;0.351479;3.000000;KS;0.000000;0.851440;0.492000
rdw_same_s_1.csv;0.259274;1.599628;3.683473;0.153322;3.000000;KS;0.000000;0.920928;0.571000
rdw_same_s_2.csv;0.628537;2.020457;2.951665;0.184890;3.000000;KS;0.000000;0.945587;0.884000
rdw_same_s_3.csv;0.249975;1.148014;4.154852;0.115248;3.000000;KS;0.000000;0.660798;0.584000
rdw_same_s_4.csv;0.166683;1.395997;5.420125;0.147626;3.000000;KS;0.000000;0.690874;0.795000
rdw_same_s_5.csv;0.476152;1.217935;1.189887;0.233055;3.000000;KS;0.000000;0.881546;0.508000
rdw_same_s_6.csv;0.500050;1.092738;1.571900;0.245032;3.000000;KS;0.000000;0.821741;0.577000
rdw_same_s_7.csv;0.238076;1.257129;3.334854;0.041837;3.000000;KS;0.000000;0.392548;0.609000
rdw_same_s_8.csv;0.289471;1.109969;4.086902;0.152313;3.000000;KS;0.000000;0.993048;0.556000
rdw_same_s_9.csv;0.656234;0.925341;0.390905;0.326428;3.000000;KS;0.000000;0.762625;0.581000
rdw_same_s_10.csv;0.239976;1.471781;3.911346;0.063753;3.000000;KS;0.000000;0.675943;0.553000
rdw_same_s_11.csv;0.224178;1.669929;3.474804;0.043939;3.000000;KS;0.000000;0.334702;0.772000
rdw_same_s_12.csv;0.282672;1.333475;3.197152;0.108492;3.000000;KS;0.000000;0.961309;0.505000
rdw_same_s_13.csv;0.361164;1.071265;2.401527;0.048746;3.000000;KS;0.000000;0.689053;0.595000
