# subj	index_traj	path	conditions	condition	cond_sum	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	prop_left	RT_s	acc_lv	same_side_as_lv	same_side_as_ms
0	120	iid	RL	different	iid_different	right	1.926	4.487	left	20	-4.387	1	0	0.455	1	0	1
0	145	iid	RL	different	iid_different	right	1.969	6.295	left	40	-10.722	1	0	0.53	1	0	1
0	142	iid	RL	different	iid_different	right	1.12	6.035	left	36	-5.179	1	0	0.519	1	0	1
0	32	iid	LL	same	iid_same	left	-2.179	5.057	left	26	-5.865	-1	1	0.537	1	1	1
0	4	iid	LL	same	iid_same	left	-2.051	2.291	left	5	-3.295	-1	1	0.47	1	1	1
0	179	iid	RR	same	iid_same	right	1.621	4.376	right	19	14.001	1	0	0.476	1	1	1
0	27	iid	LL	same	iid_same	left	-2.389	4.145	left	17	-3.429	-1	1	0.485	1	1	1
0	109	iid	RL	different	iid_different	right	1.193	2.511	left	6	-2.767	1	0	0.497	1	0	1
0	6	iid	LL	same	iid_same	left	-2.375	2.81	left	8	-5.006	-1	1	0.616	1	1	1
0	194	iid	RR	same	iid_same	right	1.816	6.152	right	38	4.335	1	0	0.678	1	1	1
0	11	iid	LL	same	iid_same	left	-1.454	3.202	left	10	-2.972	-1	1	0.343	1	1	1
0	33	iid	LL	same	iid_same	left	-2.547	5.207	left	27	-4.706	-1	1	0.497	1	1	1
0	101	iid	RL	different	iid_different	right	0.806	2.319	left	5	-3.749	1	0	0.545	1	0	1
0	141	iid	RL	different	iid_different	right	1.575	6.045	left	37	-3.812	1	0	0.655	1	0	1
0	22	iid	LL	same	iid_same	left	-1.158	4.684	left	22	-3.138	1	0	0.381	0	0	0
0	159	iid	RR	same	iid_same	right	1.71	2.788	right	8	5.391	1	0	0.582	1	1	1
0	144	iid	RL	different	iid_different	right	1.676	6.092	left	37	-6.022	1	0	0.525	1	0	1
0	10	iid	LL	same	iid_same	left	-1.646	3.03	left	9	-6.579	-1	1	0.546	1	1	1
0	62	iid	LR	different	iid_different	left	-1.05	3.553	right	13	3.169	-1	1	0.553	1	0	1
0	155	iid	RR	same	iid_same	right	2.123	2.129	right	5	3.169	-1	1	0.49	0	0	0
0	108	iid	RL	different	iid_different	right	2.027	2.567	left	7	-4.044	1	0	0.775	1	0	1
0	40	iid	LL	same	iid_same	left	-2.137	6.102	left	37	-2.857	-1	1	0.62	1	1	1
0	28	iid	LL	same	iid_same	left	-1.983	4.508	left	20	-4.197	1	0	0.533	0	0	0
0	163	iid	RR	same	iid_same	right	1.629	3.238	right	11	7.675	1	0	0.448	1	1	1
0	44	iid	LL	same	iid_same	left	-1.816	6.152	left	38	-4.335	-1	1	0.331	1	1	1
0	64	iid	LR	different	iid_different	left	-1.583	3.228	right	10	4.674	-1	1	0.462	1	0	1
0	123	iid	RL	different	iid_different	right	2.056	4.699	left	22	-3.118	1	0	0.492	1	0	1
0	70	iid	LR	different	iid_different	left	-1.926	4.487	right	20	4.387	-1	1	0.406	1	0	1
0	153	iid	RR	same	iid_same	right	1.229	2.32	right	5	4.069	1	0	0.542	1	1	1
0	198	iid	RR	same	iid_same	right	2.101	6.227	right	39	4.733	1	0	0.381	1	1	1
0	0	iid	LL	same	iid_same	left	-1.672	2.125	left	5	-3.182	-1	1	0.577	1	1	1
0	166	iid	RR	same	iid_same	right	1.331	3.134	right	10	7.001	1	0	0.352	1	1	1
0	146	iid	RL	different	iid_different	right	1.995	6.028	left	36	-3.041	1	0	0.504	1	0	1
0	112	iid	RL	different	iid_different	right	1.05	3.553	left	13	-3.169	1	0	0.467	1	0	1
0	61	iid	LR	different	iid_different	left	-0.973	3.878	right	15	2.704	1	0	0.296	0	1	0
0	190	iid	RR	same	iid_same	right	2.137	6.102	right	37	2.857	1	0	0.206	1	1	1
0	36	iid	LL	same	iid_same	left	-1.917	5.864	left	35	-11.991	1	0	0.276	0	0	0
0	161	iid	RR	same	iid_same	right	1.454	3.202	right	10	2.972	1	0	0.106	1	1	1
0	42	iid	LL	same	iid_same	left	-1.954	6.647	left	44	-13.663	-1	1	0.627	1	1	1
0	119	iid	RL	different	iid_different	right	2.377	3.329	left	11	-2.683	1	0	0.511	1	0	1
0	35	iid	LL	same	iid_same	left	-2.32	5.071	left	26	-7.877	1	0	0.69	0	0	0
0	12	iid	LL	same	iid_same	left	-1.311	3.437	left	12	-3.281	1	0	0.734	0	0	0
0	31	iid	LL	same	iid_same	left	-2.689	5.667	left	33	-13.897	-1	1	0.637	1	1	1
0	97	iid	LR	different	iid_different	left	-1.346	6.31	right	40	3.058	-1	1	0.735	1	0	1
0	169	iid	RR	same	iid_same	right	1.394	3.481	right	12	5.649	1	0	0.503	1	1	1
0	96	iid	LR	different	iid_different	left	-1.995	6.028	right	36	3.041	-1	1	0.687	1	0	1
