# subj	index_traj	path	conditions	condition	cond_sum	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	prop_left	RT_s	acc_lv	same_side_as_lv	same_side_as_ms
26	67	rdw	LR	different	rdw_different	left	-1.011	3.712	right	14	2.576	1	0	0.31	1	1	0
26	37	rdw	LL	same	rdw_same	left	-1.988	5.494	left	30	-5.674	-1	1	0.462	1	1	1
26	56	rdw	LR	different	rdw_different	left	-0.974	2.955	right	9	5.179	1	0	0.279	1	1	0
26	104	rdw	RL	different	rdw_different	right	1.113	2.948	left	9	-2.555	1	0	0.304	0	0	1
26	163	rdw	RR	same	rdw_same	right	1.629	3.238	right	11	7.675	1	0	0.329	1	1	1
26	7	rdw	LL	same	rdw_same	left	-2.172	2.398	left	6	-6.377	-1	1	0.234	1	1	1
26	196	rdw	RR	same	rdw_same	right	1.185	6.479	right	42	5.232	1	0	0.379	1	1	1
26	74	rdw	LR	different	rdw_different	left	-1.906	4.326	right	19	4.242	1	0	0.285	1	1	0
26	154	rdw	RR	same	rdw_same	right	2.051	2.291	right	5	3.295	1	0	0.215	1	1	1
26	118	rdw	RL	different	rdw_different	right	1.071	3.23	left	10	-4.659	-1	1	0.273	1	1	0
26	157	rdw	RR	same	rdw_same	right	2.172	2.398	right	6	6.377	1	0	0.197	1	1	1
26	153	rdw	RR	same	rdw_same	right	1.229	2.32	right	5	4.069	1	0	0.122	1	1	1
26	3	rdw	LL	same	rdw_same	left	-1.229	2.32	left	5	-4.069	-1	1	0.215	1	1	1
26	79	rdw	LR	different	rdw_different	left	-2.149	4.637	right	22	6.019	1	0	0.389	1	1	0
26	27	rdw	LL	same	rdw_same	left	-2.389	4.145	left	17	-3.429	-1	1	0.441	1	1	1
26	80	rdw	LR	different	rdw_different	left	-1.134	4.973	right	25	3.726	1	0	0.455	1	1	0
26	0	rdw	LL	same	rdw_same	left	-1.672	2.125	left	5	-3.182	-1	1	0.253	1	1	1
26	183	rdw	RR	same	rdw_same	right	2.547	5.207	right	27	4.706	1	0	0.345	1	1	1
26	47	rdw	LL	same	rdw_same	left	-2.158	6.978	left	49	-5.806	-1	1	0.593	1	1	1
26	2	rdw	LL	same	rdw_same	left	-2.413	2.537	left	6	-6.728	-1	1	0.175	1	1	1
26	29	rdw	LL	same	rdw_same	left	-1.621	4.376	left	19	-14.001	-1	1	0.304	1	1	1
26	93	rdw	LR	different	rdw_different	left	-1.486	6.421	right	41	8.888	1	0	0.356	1	1	0
26	149	rdw	RL	different	rdw_different	right	1.186	6.295	left	40	-3.668	-1	1	0.416	1	1	0
26	173	rdw	RR	same	rdw_same	right	2.217	4.012	right	16	3.328	1	0	0.293	1	1	1
26	38	rdw	LL	same	rdw_same	left	-2.822	5.379	left	29	-8.417	-1	1	0.371	1	1	1
26	146	rdw	RL	different	rdw_different	right	1.995	6.028	left	36	-3.041	-1	1	0.412	1	1	0
26	195	rdw	RR	same	rdw_same	right	0.81	6.405	right	41	10.068	1	0	0.451	1	1	1
26	133	rdw	RL	different	rdw_different	right	1.014	5.344	left	29	-3.279	-1	1	0.603	1	1	0
26	17	rdw	LL	same	rdw_same	left	-2.376	3.95	left	16	-7.381	-1	1	0.356	1	1	1
26	65	rdw	LR	different	rdw_different	left	-2.055	3.917	right	16	5.82	1	0	0.325	1	1	0
26	62	rdw	LR	different	rdw_different	left	-1.05	3.553	right	13	3.169	-1	1	0.332	0	0	1
26	128	rdw	RL	different	rdw_different	right	0.87	4.088	left	17	-2.599	-1	1	0.416	1	1	0
26	10	rdw	LL	same	rdw_same	left	-1.646	3.03	left	9	-6.579	-1	1	0.307	1	1	1
26	188	rdw	RR	same	rdw_same	right	2.822	5.379	right	29	8.417	1	0	0.422	1	1	1
26	84	rdw	LR	different	rdw_different	left	-1.581	5.468	right	30	3.437	1	0	0.442	1	1	0
26	64	rdw	LR	different	rdw_different	left	-1.583	3.228	right	10	4.674	-1	1	0.3925	0	0	1
26	135	rdw	RL	different	rdw_different	right	1.907	4.917	left	24	-2.755	-1	1	0.559	1	1	0
26	35	rdw	LL	same	rdw_same	left	-2.32	5.071	left	26	-7.877	-1	1	0.361	1	1	1
26	198	rdw	RR	same	rdw_same	right	2.101	6.227	right	39	4.733	1	0	0.3925	1	1	1
26	87	rdw	LR	different	rdw_different	left	-1.078	5.502	right	30	5.305	1	0	0.307	1	1	0
26	158	rdw	RR	same	rdw_same	right	1.147	2.092	right	4	3.873	1	0	0.217	1	1	1
26	110	rdw	RL	different	rdw_different	right	0.889	3.379	left	11	-3.456	-1	1	0.127	1	1	0
26	91	rdw	LR	different	rdw_different	left	-1.575	6.045	right	37	3.812	1	0	0.363	1	1	0
26	187	rdw	RR	same	rdw_same	right	1.988	5.494	right	30	5.674	1	0	0.376	1	1	1
26	145	rdw	RL	different	rdw_different	right	1.969	6.295	left	40	-10.722	-1	1	0.462	1	1	0
26	51	rdw	LR	different	rdw_different	left	-0.806	2.319	right	5	3.749	1	0	0.279	1	1	0
26	16	rdw	LL	same	rdw_same	left	-1.331	3.134	left	10	-7.001	-1	1	0.392	1	1	1
26	58	rdw	LR	different	rdw_different	left	-2.027	2.567	right	7	4.044	1	0	0.286	1	1	0
