subj;iid diff as_lv;iid same as_lv;rdw diff as_lv;rdw same as_lv;iid diff as_ms;iid same as_ms;rdw diff as_ms;rdw same as_ms
0;0.34;0.79;0.92;0.9;0.66;0.79;0.08;0.9
1;0.08;0.95;0.89;0.97;0.92;0.95;0.11;0.97
2;0.4;0.9;0.98;0.99;0.6;0.9;0.02;0.99
3;0.42;0.68;0.91;0.98;0.58;0.68;0.09;0.98
4;0.43;0.69;0.9;0.99;0.57;0.69;0.1;0.99
5;0.39;0.65;0.7;0.83;0.61;0.65;0.3;0.83
6;0.41;0.78;0.92;0.91;0.59;0.78;0.08;0.91
7;0.42;0.59;0.76;0.94;0.58;0.59;0.24;0.94
8;0.24;0.85;0.93;0.97;0.76;0.85;0.07;0.97
9;0.47;0.78;0.8;0.8;0.53;0.78;0.2;0.8
10;0.21;0.85;0.91;1;0.79;0.85;0.09;1
11;0.33;0.75;0.95;1;0.67;0.75;0.05;1
12;0.45;0.75;0.91;0.96;0.55;0.75;0.09;0.96
13;0.32;0.74;0.75;0.9;0.68;0.74;0.25;0.9
14;0.55;0.68;0.78;0.79;0.45;0.68;0.22;0.79
15;0.27;0.84;0.88;0.88;0.73;0.84;0.12;0.88
16;0.3;0.72;0.94;0.99;0.7;0.72;0.06;0.99
17;0.41;0.7;0.92;0.94;0.59;0.7;0.08;0.94
18;0.32;0.73;0.73;0.81;0.68;0.73;0.27;0.81
19;0.19;0.91;0.98;1;0.81;0.91;0.02;1
20;0.34;0.77;0.95;1;0.66;0.77;0.05;1
21;0.19;0.83;0.85;0.85;0.81;0.83;0.15;0.85
22;0.25;0.65;0.92;0.99;0.75;0.65;0.08;0.99
23;0.22;0.87;0.74;0.84;0.78;0.87;0.26;0.84
24;0.16;0.91;0.92;0.97;0.84;0.91;0.08;0.97
25;0.39;0.73;0.91;1;0.61;0.73;0.09;1
26;0.32;0.89;0.94;0.97;0.68;0.89;0.06;0.97
27;0.38;0.83;0.9;0.94;0.62;0.83;0.1;0.94
