subj;RT_s iid_diff;acc_lv iid_diff;RT_s iid_same;acc_lv iid_same;RT_s rdw_diff;acc_lv rdw_diff;RT_s rdw_same;acc_lv rdw_same
0;0.52833;0.66;0.53475;0.79;0.55531;0.92;0.53379;0.9
1;0.420525;0.92;0.42448;0.95;0.4825275;0.89;0.4526525;0.97
2;0.51658;0.6;0.454085;0.9;0.42091;0.98;0.408195;0.99
3;0.40161;0.58;0.38497;0.68;0.3050575;0.91;0.2797225;0.98
4;0.52492;0.57;0.490825;0.69;0.369635;0.9;0.3236475;0.99
5;0.54412;0.61;0.52904;0.65;0.50416;0.7;0.49495;0.83
6;0.674705;0.59;0.6100725;0.78;0.5445375;0.92;0.4751325;0.91
7;0.253475;0.58;0.248835;0.59;0.269365;0.76;0.246435;0.94
8;0.308125;0.76;0.3124625;0.85;0.32841;0.93;0.3114075;0.97
9;0.55251;0.53;0.49793;0.78;0.46712;0.8;0.440885;0.8
10;0.4089;0.79;0.35874;0.85;0.31901;0.91;0.29487;1
11;0.5346475;0.67;0.5168125;0.75;0.401215;0.95;0.34874;1
12;0.399415;0.55;0.384575;0.75;0.3804775;0.91;0.3613625;0.96
13;0.28898;0.68;0.284005;0.74;0.26534;0.75;0.24025;0.9
14;0.79226;0.45;0.753055;0.68;0.71516;0.78;0.67667;0.79
15;0.65168;0.73;0.59368;0.84;0.5739125;0.88;0.5038175;0.88
16;0.394335;0.7;0.396685;0.72;0.304925;0.94;0.2707225;0.99
17;0.51411;0.59;0.49356;0.7;0.36383;0.92;0.34278;0.94
18;0.25731;0.68;0.23063;0.73;0.360775;0.73;0.310665;0.81
19;0.480425;0.81;0.4555125;0.91;0.404735;0.98;0.372485;1
20;0.415995;0.66;0.3885575;0.77;0.32961;0.95;0.27527;1
21;0.2422925;0.81;0.2387675;0.83;0.36862;0.85;0.31683;0.85
22;0.432975;0.75;0.420305;0.65;0.3507475;0.92;0.2788675;0.99
23;0.182585;0.78;0.1878025;0.87;0.19056;0.74;0.18021;0.84
24;0.4109775;0.84;0.4177725;0.91;0.37095;0.92;0.33072;0.97
25;0.4454;0.61;0.41499;0.73;0.32483;0.91;0.286715;1
26;0.4532925;0.68;0.439675;0.89;0.4028975;0.94;0.3940175;0.97
27;0.37349;0.62;0.34937;0.83;0.34811;0.9;0.32357;0.94
