inex path;index path 2;path;cond;mean_cond;Mean;Mean_last15;Mean_last10;Mean_last5;Standard Deviation;last visibl;Count 0 (right resp);Count 1 (left resp);correct;error;mean=last15;mean=last10;mean=last5;ok;more corr answ
0;0;iid;opposite;left;-2.211;-2.448;-2.135;-1.52;2.753;3.383;4.0;24.0;24.0;4.0;y;y;y;y;1
1;1;iid;opposite;left;-0.775;0.45;1.34;1.368;2.342;3.749;16.0;12.0;12.0;16.0;n;n;n;n;0
2;2;iid;opposite;left;-1.467;-2.319;-0.955;-0.441;2.355;5.012;4.0;24.0;24.0;4.0;y;y;y;y;1
3;3;iid;opposite;left;-0.934;-0.956;-1.798;-0.667;2.666;2.843;7.0;21.0;21.0;7.0;y;y;y;y;1
4;4;iid;opposite;left;-1.087;-0.728;-1.52;-2.003;2.954;2.555;4.0;24.0;24.0;4.0;y;y;y;y;1
5;5;iid;opposite;left;-1.039;-1.329;-0.727;-0.236;2.128;4.474;7.0;21.0;21.0;7.0;y;y;y;y;1
6;6;iid;opposite;left;-0.931;-0.17;-0.72;1.268;2.989;5.179;15.0;13.0;13.0;15.0;y;y;n;n;0
7;7;iid;opposite;left;-2.155;-0.924;-0.801;-0.233;2.981;2.592;10.0;18.0;18.0;10.0;y;y;y;y;1
8;8;iid;opposite;left;-1.985;-3.056;-2.462;-0.318;2.607;4.044;9.0;19.0;19.0;9.0;y;y;y;y;1
9;9;iid;opposite;left;-1.166;-0.943;-0.469;-0.08;2.524;2.767;9.0;19.0;19.0;9.0;y;y;y;y;1
10;10;iid;opposite;left;-0.858;-0.715;-0.083;0.815;3.387;3.456;8.0;20.0;20.0;8.0;y;y;n;y;1
11;11;iid;opposite;left;-0.946;-0.794;0.784;0.493;3.877;2.704;19.0;9.0;9.0;19.0;y;n;n;n;0
12;12;iid;opposite;left;-1.019;-0.477;0.264;-1.218;3.559;3.169;5.0;23.0;23.0;5.0;y;n;y;y;1
13;13;iid;opposite;left;-1.844;-1.41;-0.716;0.391;3.773;4.613;6.0;22.0;22.0;6.0;y;y;n;y;1
14;14;iid;opposite;left;-1.539;-1.505;-1.054;-1.084;3.259;4.674;9.0;19.0;19.0;9.0;y;y;y;y;1
15;15;iid;opposite;left;-1.996;-0.403;-0.442;-0.738;3.96;5.82;7.0;21.0;21.0;7.0;y;y;y;y;1
16;16;iid;opposite;left;-2.037;0.247;0.624;1.581;3.639;5.348;8.0;20.0;20.0;8.0;n;n;n;y;1
17;17;iid;opposite;left;-0.985;-0.359;-1.339;-1.015;3.711;2.576;11.0;17.0;17.0;11.0;y;y;y;y;1
18;18;iid;opposite;left;-1.031;-0.31;-0.269;0.585;3.254;4.659;14.0;14.0;14.0;14.0;y;y;n;n;0
19;19;iid;opposite;left;-2.341;-1.187;-0.898;-2.658;3.344;2.683;9.0;19.0;19.0;9.0;y;y;y;y;1
20;20;iid;opposite;left;-1.877;-0.838;-1.262;0.139;4.503;4.387;9.0;19.0;19.0;9.0;y;y;n;y;1
21;21;iid;opposite;left;-1.729;-1.86;-2.025;1.196;4.728;2.728;9.0;19.0;19.0;9.0;y;y;n;y;1
22;22;iid;opposite;left;-1.244;-2.345;-2.79;1.514;4.911;3.587;16.0;12.0;12.0;16.0;y;y;n;n;0
23;23;iid;opposite;left;-2.015;-1.571;-1.5;-2.119;4.703;3.118;7.0;21.0;21.0;7.0;y;y;y;y;1
24;24;iid;opposite;left;-1.859;-1.844;-3.903;-1.357;4.342;4.242;7.0;21.0;21.0;7.0;y;y;y;y;1
25;25;iid;opposite;left;-0.942;-0.634;0.126;1.682;4.765;7.396;12.0;16.0;16.0;12.0;y;n;n;y;1
26;26;iid;opposite;left;-1.733;-0.22;0.22;-2.369;4.764;6.096;11.0;17.0;17.0;11.0;y;n;y;y;1
