# subj	trial	index_traj	path	last_cond	condition	index_old	mean_side	mean_val	mean_last5	mean_last15	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	RT	prop_last_5	prop_last_15	prop_ms	prop_lv	accuracy
17	199	18	5%	opposite	opposite_5	41	left	-1.528	1.454	-0.385	6.039	right	36	3.812	1	0.582	1	0	0	1	1
17	145	8	15%	opposite	opposite_15	26	left	-1.733	1.774	1.544	4.764	right	21	6.096	1	0.501	1	1	0	1	1
17	90	12	5%	opposite	opposite_5	31	left	-1.652	1.692	-1.609	5.732	right	30	12.73	-1	0.608	0	1	1	0	0
17	148	14	15%	opposite	opposite_15	33	left	-0.979	1.011	0.794	5.336	right	28	3.279	1	0.865	1	1	0	1	1
17	149	18	15%	opposite	opposite_15	41	left	-1.528	1.469	1.396	6.039	right	36	3.812	1	0.513	1	1	0	1	1
17	86	23	5%	opposite	opposite_5	48	left	-0.888	0.941	-1.395	6.245	right	38	8.275	1	0.802	1	0	0	1	1
17	85	18	5%	opposite	opposite_5	41	right	1.528	-1.454	0.385	6.039	left	36	-3.812	1	0.849	0	1	1	0	0
17	151	20	5%	opposite	opposite_5	44	left	-1.608	1.548	-1.604	6.108	right	36	6.022	1	0.493	1	0	0	1	1
17	152	21	5%	opposite	opposite_5	45	right	1.854	-1.911	0.734	6.381	left	39	-10.722	1	0.607	0	1	1	0	0
17	153	13	5%	opposite	opposite_5	32	right	0.87	-0.862	0.217	5.412	left	28	-4.576	1	0.561	0	1	1	0	0
17	155	4	5%	opposite	opposite_5	17	left	-0.985	0.978	-0.316	3.711	right	13	2.576	-1	0.888	0	1	1	0	0
17	78	13	5%	opposite	opposite_5	32	left	-0.87	0.862	-0.217	5.412	right	28	4.576	1	0.905	1	0	0	1	1
17	77	6	5%	opposite	opposite_5	22	left	-1.244	1.19	-1.422	4.911	right	23	3.587	1	1.351	1	0	0	1	1
17	76	22	5%	opposite	opposite_5	47	right	1.307	-1.313	1.177	6.295	left	39	-3.058	1	0.7	0	1	1	0	0
17	75	17	5%	opposite	opposite_5	40	right	2.125	-2.158	2.044	6.532	left	42	-2.644	1	0.961	0	1	1	0	0
17	156	21	5%	opposite	opposite_5	45	left	-1.854	1.911	-0.734	6.381	right	39	10.722	-1	0.636	0	1	1	0	0
17	73	19	5%	opposite	opposite_5	43	right	1.392	-1.341	1.171	6.468	left	40	-8.888	1	0.55	0	1	1	0	0
17	72	3	5%	opposite	opposite_5	11	right	0.946	-0.946	1.365	3.877	left	14	-2.704	-1	0.67	1	0	0	1	1
17	69	8	5%	opposite	opposite_5	26	right	1.733	-1.779	1.878	4.764	left	21	-6.096	1	0.628	0	1	1	0	0
17	68	20	5%	opposite	opposite_5	44	right	1.608	-1.548	1.604	6.108	left	36	-6.022	1	0.993	0	1	1	0	0
17	161	22	5%	opposite	opposite_5	47	left	-1.307	1.313	-1.177	6.295	right	39	3.058	1	0.839	1	0	0	1	1
17	127	1	15%	opposite	opposite_15	6	right	0.931	-1.006	-0.838	2.989	left	8	-5.179	-1	0.488	1	1	0	1	1
17	62	10	5%	opposite	opposite_5	29	right	2.085	-2.028	1.078	4.674	left	21	-6.019	1	1.003	0	1	1	0	0
17	163	6	5%	opposite	opposite_5	22	right	1.244	-1.19	1.422	4.911	left	23	-3.587	-1	0.791	1	0	0	1	1
17	164	3	5%	opposite	opposite_5	11	left	-0.946	0.946	-1.365	3.877	right	14	2.704	1	0.661	1	0	0	1	1
17	59	4	5%	opposite	opposite_5	17	right	0.985	-0.978	0.316	3.711	left	13	-2.576	-1	1.031	1	0	0	1	1
17	94	5	5%	opposite	opposite_5	18	right	1.031	-0.947	1.205	3.254	left	9	-4.659	-1	0.595	1	0	0	1	1
17	165	2	5%	opposite	opposite_5	9	right	1.166	-1.105	0.536	2.524	left	5	-2.767	-1	0.787	1	0	0	1	1
17	95	11	5%	opposite	opposite_5	30	right	1.096	-1.154	0.743	4.972	left	24	-3.726	1	1.143	0	1	1	0	0
17	97	17	5%	opposite	opposite_5	40	left	-2.125	2.158	-2.044	6.532	right	42	2.644	1	1.251	1	0	0	1	1
17	130	15	15%	opposite	opposite_15	34	right	1.54	-1.577	-1.381	5.464	left	29	-3.437	-1	0.83	1	1	0	1	1
17	131	9	15%	opposite	opposite_15	27	right	1.171	-1.257	-1.041	4.454	left	18	-7.711	-1	1.213	1	1	0	1	1
17	124	24	15%	opposite	opposite_15	49	left	-1.143	1.208	1.073	6.283	right	39	3.668	-1	0.841	0	0	1	0	0
17	123	10	15%	opposite	opposite_15	29	left	-2.085	2.184	1.992	4.674	right	21	6.019	1	0.494	1	1	0	1	1
17	122	7	15%	opposite	opposite_15	25	right	0.942	-0.883	-0.696	4.765	left	21	-7.396	-1	0.531	1	1	0	1	1
17	120	2	15%	opposite	opposite_15	9	left	-1.166	1.123	0.973	2.524	right	5	2.767	1	0.445	1	1	0	1	1
17	119	24	15%	opposite	opposite_15	49	right	1.143	-1.208	-1.073	6.283	left	39	-3.668	1	0.599	0	0	1	0	0
17	133	15	15%	opposite	opposite_15	34	left	-1.54	1.577	1.381	5.464	right	29	3.437	1	0.657	1	1	0	1	1
17	134	0	15%	opposite	opposite_15	1	right	0.775	-0.834	-0.64	2.342	left	4	-3.749	-1	0.497	1	1	0	1	1
