subj;NOT_EQUAL_5 as_ms;EQUAL_5 as_ms;NOT_EQUAL_15 as_ms;EQUAL_15 as_ms;NOT_EQUAL_5 as_last;EQUAL_5 as_last;NOT_EQUAL_15 as_last;EQUAL_15 as_last;NOT_EQUAL_5 RT;EQUAL_5 RT;NOT_EQUAL_15 RT;EQUAL_15 RT;NOT_EQUAL_5 Acc;EQUAL_5 Acc;NOT_EQUAL_15 Acc;EQUAL_15 Acc
0;0.32;0.82;0.24;0.64;0.68;0.82;0.76;0.64;0.66882;0.71294;0.66976;0.72355;0.68;0.82;0.76;0.64
1;0.26;0.52;0.2;0.4;0.74;0.52;0.8;0.4;0.64921;0.71535;0.68435;0.81222;0.74;0.52;0.8;0.4
2;0.36;0.3;0.16;0.52;0.64;0.3;0.84;0.52;0.96102;0.97074;1.04182;1.04128;0.64;0.3;0.84;0.52
3;0.12;0.56;0.22;0.72;0.88;0.56;0.78;0.72;0.72334;0.78798;0.64982;0.65327;0.88;0.56;0.78;0.72
4;0.44;0.66;0.32;0.68;0.56;0.66;0.68;0.68;0.95696;0.73302;0.80236;0.74915;0.56;0.66;0.68;0.68
5;0.28;0.74;0.26;0.66;0.72;0.74;0.74;0.66;0.55035;0.53679;0.55547;0.54301;0.72;0.74;0.74;0.66
6;0.38;0.58;0.34;0.44;0.62;0.58;0.66;0.44;0.57996;0.59408;0.59516;0.6443;0.62;0.58;0.66;0.44
7;0.28;0.52;0.26;0.32;0.72;0.52;0.74;0.32;0.6539;0.61888;0.63462;0.6313;0.72;0.52;0.74;0.32
8;0.36;0.58;0.1;0.68;0.64;0.58;0.9;0.68;0.68965;0.85772;0.69998;0.87053;0.64;0.58;0.9;0.68
9;0.28;0.58;0.28;0.56;0.72;0.58;0.72;0.56;0.6272;0.60317;0.73022;0.67843;0.72;0.58;0.72;0.56
10;0.28;0.62;0.18;0.66;0.72;0.62;0.82;0.66;0.58584;0.61609;0.593;0.58359;0.72;0.62;0.82;0.66
11;0.14;0.68;0.26;0.56;0.84;0.68;0.74;0.56;0.56494;0.66432;0.64966;0.82127;0.84;0.68;0.74;0.56
12;0.24;0.28;0.22;0.22;0.76;0.28;0.78;0.22;0.60978;0.7183;0.6384;0.70428;0.76;0.28;0.78;0.22
13;0.3;0.44;0.28;0.36;0.7;0.44;0.72;0.36;0.61794;0.68429;0.54098;0.58557;0.7;0.44;0.72;0.36
14;0.2;0.56;0.3;0.56;0.8;0.56;0.7;0.56;1.05486;1.04672;0.97896;1.02584;0.8;0.56;0.7;0.56
15;0.58;0.76;0.36;0.66;0.42;0.76;0.64;0.66;0.85961;0.85426;0.80129;0.82022;0.42;0.76;0.64;0.66
16;0.3;0.5;0.24;0.7;0.7;0.5;0.76;0.7;0.95052;1.04046;1.03379;1.19738;0.7;0.5;0.76;0.7
17;0.38;0.54;0.3;0.56;0.62;0.54;0.7;0.56;0.75628;0.7639;0.68062;0.81602;0.62;0.54;0.7;0.56
18;0.46;0.62;0.38;0.7;0.54;0.62;0.62;0.7;0.63162;0.63318;0.57974;0.629;0.54;0.62;0.62;0.7
19;0.24;0.58;0.24;0.44;0.76;0.58;0.76;0.44;0.65654;0.71446;0.73231;0.7911;0.76;0.58;0.76;0.44
20;0.44;0.56;0.28;0.48;0.56;0.56;0.72;0.48;0.61134;0.57959;0.62882;0.59068;0.56;0.56;0.72;0.48
21;0.38;0.44;0.2;0.58;0.62;0.44;0.8;0.58;0.63246;0.6759;0.5781;0.60726;0.62;0.44;0.8;0.58
