;num_trial;path_seed;noise_lvl;slope;sd;mean;min;max;response;RT;prop_left;acc
0;0;380127118;1.5;6.0;1.49;5.98;2.81;9.17;1;0.416;0;1
1;1;380127118;1.5;4.0;1.49;3.98;0.81;7.17;1;0.462;0;1
2;2;438462352;1.5;2.0;1.49;2.0;-0.59;5.52;1;0.483;0;1
3;3;438462352;1.5;0.0;1.49;-0.0;-2.59;3.52;-1;0.583;1;0
4;4;570875540;1.5;1.0;1.5;1.02;-2.87;4.94;1;0.775;0;1
5;5;570875540;1.5;1.0;1.5;1.02;-2.87;4.94;1;0.69;0;1
6;6;79695259;1.5;0.5;1.5;0.5;-3.17;4.59;1;0.568;0;1
7;7;79695259;1.5;0.5;1.5;0.5;-3.17;4.59;1;0.6585000000000001;0;1
8;8;357337627;1.5;0.0;1.49;-0.02;-3.32;2.75;-1;0.779;1;0
9;9;357337627;1.5;1.0;1.49;0.98;-2.32;3.75;1;0.658;0;1
10;10;339048478;1.5;1.0;1.53;0.96;-2.46;4.23;1;0.659;0;1
11;11;339048478;1.5;0.5;1.53;0.46;-2.96;3.73;-1;0.561;1;0
12;12;3897512;1.5;1.0;1.5;0.97;-1.91;4.07;1;0.6585000000000001;0;1
13;13;3897512;1.5;1.0;1.5;0.97;-1.91;4.07;1;0.6585000000000001;0;1
14;14;152833960;1.5;0.5;1.48;0.5;-2.94;4.03;1;0.688;0;1
15;15;152833960;1.5;0.5;1.48;0.5;-2.94;4.03;1;1.008;0;1
16;16;386198835;1.5;0.0;1.5;-0.0;-3.28;2.98;1;0.569;0;0
17;17;386198835;1.5;1.0;1.5;1.0;-2.28;3.98;-1;0.53;1;0
18;18;426752948;1.5;1.5;1.5;1.49;-1.79;5.16;1;0.598;0;1
19;19;426752948;1.5;1.5;1.5;1.49;-1.79;5.16;1;0.674;0;1
20;20;279855541;1.5;-6.0;1.53;-6.05;-9.73;-2.99;-1;0.644;1;1
21;21;279855541;1.5;-4.0;1.53;-4.05;-7.73;-0.99;-1;0.545;1;1
22;22;295334325;1.5;-2.0;1.48;-2.0;-6.12;1.16;-1;0.546;1;1
23;23;295334325;1.5;0.0;1.48;0.0;-4.12;3.16;-1;1.063;1;0
