;noise_lvl;slope;prop_left;acc;RT
0;1.5;-6.0;1.0;1.0;0.456
1;1.5;-4.0;1.0;1.0;0.423
2;1.5;-2.5;1.0;1.0;0.55
3;1.5;-2.0;0.75;0.75;0.3955
4;1.5;-1.5;0.7142857142857143;0.7142857142857143;0.45642857142857146
5;1.5;-1.0;0.4;0.4;0.469
6;1.5;0.0;0.3333333333333333;0.0;0.5616666666666666
7;1.5;0.5;0.25;0.75;0.433
8;1.5;1.0;0.2857142857142857;0.7142857142857143;0.4468571428571429
9;1.5;1.5;0.0;1.0;0.395
10;1.5;2.0;0.0;1.0;0.53
11;1.5;4.0;0.0;1.0;0.182
12;1.5;6.0;0.0;1.0;0.431
13;3.0;-6.0;1.0;1.0;0.357
14;3.0;-4.0;1.0;1.0;0.389
15;3.0;-2.0;1.0;1.0;0.456
16;3.0;-1.0;1.0;1.0;0.4885
17;3.0;-0.5;1.0;1.0;0.43474999999999997
18;3.0;0.0;1.0;0.0;0.47550000000000003
19;3.0;0.5;0.5714285714285714;0.42857142857142855;0.5434285714285714
20;3.0;1.0;0.07692307692307693;0.9230769230769231;0.47715384615384615
21;3.0;1.5;0.0;1.0;0.3675
22;3.0;2.0;0.0;1.0;0.302
23;3.0;4.0;0.0;1.0;0.368
24;3.0;6.0;0.0;1.0;0.333
25;4.5;-6.0;1.0;1.0;0.462
26;4.5;-4.0;1.0;1.0;0.421
27;4.5;-2.0;1.0;1.0;0.415
28;4.5;-1.0;1.0;1.0;0.357
29;4.5;0.0;0.5;0.0;0.5105
30;4.5;0.5;0.4;0.6;0.5681
31;4.5;1.0;0.14285714285714285;0.8571428571428571;0.5094285714285715
32;4.5;1.5;0.0;1.0;0.4425
33;4.5;2.0;1.0;0.0;0.553
34;4.5;2.5;0.3333333333333333;0.6666666666666666;0.441
35;4.5;3.0;0.0;1.0;0.3855
36;4.5;3.5;0.0;1.0;0.505
37;4.5;4.0;0.3333333333333333;0.6666666666666666;0.6466666666666666
38;4.5;4.5;0.25;0.75;0.67375
39;4.5;5.0;0.0;1.0;0.448
40;4.5;6.0;0.0;1.0;0.563
41;6.0;-6.0;1.0;1.0;0.473
42;6.0;-4.0;1.0;1.0;0.677
43;6.0;-2.0;1.0;1.0;0.519
44;6.0;-1.0;1.0;1.0;0.487
45;6.0;0.0;0.6666666666666666;0.0;0.5106666666666667
46;6.0;0.5;0.0;1.0;0.48
47;6.0;1.0;0.5714285714285714;0.42857142857142855;0.522
48;6.0;1.5;0.2;0.8;0.5596
49;6.0;2.0;0.25;0.75;0.5435
50;6.0;2.5;0.0;1.0;0.5650000000000001
51;6.0;4.0;0.0;1.0;0.384
52;6.0;6.0;0.0;1.0;0.373
